ds,y,yhat
2019-10-15,,3.7822933345112275e-05
2019-10-16,,4.339498935581962e-05
2019-10-17,,5.378999878791668e-05
2019-10-18,4.3592611490036245e-05,5.63951702739809e-05
2019-10-19,0.00011713358165829002,6.530158980039765e-05
2019-10-20,,3.870820580306536e-05
2019-10-21,9.425626362571424e-05,0.00011609209656653686
2019-10-22,3.913731277150062e-05,7.216985713517542e-05
2019-10-23,3.919653958919717e-05,5.618099169121986e-05
2019-10-24,6.285457223039609e-05,9.38527777997955e-05
2019-10-25,4.548167756145118e-05,6.15608582005333e-05
2019-10-26,3.084047195739076e-05,3.170975764791914e-05
2019-10-27,2.437769449096384e-05,2.6792851435022466e-05
2019-10-28,,4.446475758130021e-05
2019-10-29,3.589217511045136e-05,4.140244138741418e-05
2019-10-30,1.8087643541600924e-05,4.898251879453172e-05
2019-10-31,4.1613955706596066e-05,5.165638405931656e-05
2019-11-01,,2.901057875388924e-05
2019-11-02,2.928544127815499e-05,4.3924422899618036e-05
2019-11-03,4.028480772576906e-05,5.6062563565650445e-05
2019-11-04,,6.300359879270237e-05
2019-11-05,8.066658862639862e-05,0.00010490381207491778
2019-11-06,3.414780254098167e-05,4.886818874770079e-05
2019-11-07,5.302053001250304e-05,0.0001172745227030144
2019-11-08,3.645062673130874e-05,3.01990167740198e-05
2019-11-09,2.9000703244955836e-05,2.78067599837936e-05
2019-11-10,2.52437764472047e-05,3.787535055510299e-05
2019-11-11,3.8460044561364514e-05,5.1378981035744816e-05
2019-11-12,7.0859345054089e-05,5.0843150169663625e-05
2019-11-13,6.436095854189552e-05,8.327737121084132e-05
2019-11-14,3.493550675312324e-05,5.0848007793836674e-05
2019-11-15,7.488010952731166e-05,4.079487922186174e-05
2019-11-16,3.124237371919329e-05,2.5985911080155315e-05
2019-11-17,2.9988207142471285e-05,3.895139300083346e-05
2019-11-18,2.785534374851326e-05,6.889664494722929e-05
2019-11-19,6.0566438775084845e-05,5.465129523016657e-05
2019-11-20,6.261561629188746e-05,3.1202588050404056e-05
2019-11-21,4.648459085586537e-05,4.163520176984524e-05
2019-11-22,2.719690142210003e-05,2.4338792817453408e-05
2019-11-23,2.9100766123776475e-05,2.9467119539701245e-05
2019-11-24,2.07143289723284e-05,2.6050850522904204e-05
2019-11-25,,3.9085233773505114e-05
2019-11-26,1.2433861636465503e-05,4.005379357227115e-05
2019-11-27,3.8005484993309625e-05,6.056486088325988e-05
2019-11-28,4.82604330221761e-05,4.7925500908727893e-05
2019-11-29,5.647424963533098e-05,3.4480518938861645e-05
2019-11-30,2.603800025166306e-05,3.931336722705557e-05
2019-12-01,2.5482548638413398e-05,3.1795614921954986e-05
2019-12-02,6.956221663269085e-05,6.327620205371308e-05
2019-12-03,,3.997037876236777e-05
2019-12-04,,5.948606490383428e-05
2019-12-05,3.80486484210894e-05,4.612772354239759e-05
2019-12-06,5.626844279217922e-05,9.029828500734904e-05
2019-12-07,6.317832540789628e-05,7.462906242300586e-05
2019-12-08,3.4720860697706757e-05,1.8967867997413396e-05
2019-12-09,6.363938061240655e-05,5.1799603831234915e-05
2019-12-10,5.185378531431707e-05,4.2832629033920715e-05
2019-12-11,5.397848062638338e-05,4.520673866507738e-05
2019-12-12,3.163532294737502e-05,2.5027398724692975e-05
2019-12-13,7.742914973757556e-05,5.2958297672748264e-05
2019-12-14,5.209952126704399e-05,4.1443900024382e-05
2019-12-15,,3.639186685904883e-05
2019-12-16,5.008186814264025e-05,6.306475323009001e-05
2019-12-17,8.429371463171778e-05,5.971151361246048e-05
2019-12-18,4.272098854828005e-05,3.928532923032577e-05
2019-12-19,6.906885762506035e-05,4.644631018371617e-05
2019-12-20,,3.2701034338644996e-05
2019-12-21,1.5010263070145317e-05,2.961392566057285e-05
2019-12-22,1.7046748264110245e-05,4.027950125074367e-05
2019-12-23,6.291239694255387e-05,9.001915668112362e-05
2019-12-24,3.586545627713548e-05,3.4938801193286265e-05
2019-12-25,,1.7251387811586977e-05
2019-12-26,2.4826032557617514e-05,3.058365326697968e-05
2019-12-27,3.880871661877026e-05,3.5878513598026126e-05
2019-12-28,5.851077151549775e-05,5.4200621982156476e-05
2019-12-29,6.19355156349679e-05,4.3681358980743424e-05
2019-12-30,,4.457075231988745e-05
2019-12-31,5.3924428357276523e-05,2.6024692002348233e-05
2020-01-01,2.448134556394483e-05,2.2384039233130804e-05
2020-01-02,2.7861449446319425e-05,2.3852197695048823e-05
2020-01-03,4.283077914075786e-05,3.556005639062131e-05
2020-01-04,4.069734094502564e-05,2.8701364272554204e-05
2020-01-05,3.738767668916725e-05,3.628641284494605e-05
2020-01-06,1.3527998761997722e-05,6.242823015436558e-05
2020-01-07,3.369755081916488e-05,5.418390288514197e-05
2020-01-08,2.730066687005837e-05,3.3344961733754176e-05
2020-01-09,6.271952554150648e-05,4.69891909411166e-05
2020-01-10,6.443867429433563e-05,4.534572556622841e-05
2020-01-11,5.5490101938940564e-05,4.512613406574882e-05
2020-01-12,4.0344351043214495e-05,1.957347466079746e-05
2020-01-13,4.2176619070202034e-05,3.434857146687379e-05
2020-01-14,6.44343261850023e-05,3.038009052456286e-05
2020-01-15,9.112684694487486e-05,4.579896184887325e-05
