ds,y,yhat,yhat_lower,yhat_upper
2019-07-28,1.0693144061193651e-05,6.767177383741019e-05,3.866034062232305e-05,0.00011756337376218673
2019-07-29,,0.0002773835283767027,0.00015754759004248835,0.0004993873653408174
2019-07-30,0.0002904841005197328,0.0002483219858725904,0.00014422797882037564,0.00043343785505055613
2019-07-31,0.0001017603734559987,8.487310638794657e-05,4.914674840472518e-05,0.00015165352323138833
2019-08-01,6.203561257773758e-05,8.302333812273688e-05,4.789704724303901e-05,0.00014444034154563823
2019-08-02,6.931060392966795e-05,6.948271606394804e-05,3.9259722113663093e-05,0.00012264542392182308
2019-08-03,0.0001293293163233026,0.00010239320012413178,5.7823816043435705e-05,0.00018520797424931298
2019-08-04,5.439807151584144e-05,5.606571423422721e-05,3.158604314831376e-05,9.987391849437647e-05
2019-08-05,8.13181232161301e-05,7.612334311286488e-05,4.358728536320777e-05,0.00013156273941460883
2019-08-06,0.00010719082213080181,7.507484907923397e-05,4.400830345055989e-05,0.00013178590425961569
2019-08-07,,8.153326490668885e-05,4.6573526425962815e-05,0.0001424359971135845
2019-08-08,3.392179496586357e-05,8.69984125633605e-05,5.023407397605497e-05,0.00015275487430196834
2019-08-09,,8.648506838396225e-05,4.974907161329175e-05,0.00014942320360116057
2019-08-10,9.43958916130167e-05,0.00010271926761894807,5.805706652144044e-05,0.00017683466196361943
2019-08-11,0.00010262449547635336,8.377904060119057e-05,4.717887725282441e-05,0.0001447144570320827
2019-08-12,,8.339541359411449e-05,4.7148676779239756e-05,0.00014617969246559002
2019-08-13,7.553931569702112e-05,9.465074174039116e-05,5.3109792756033734e-05,0.0001632059596553188
2019-08-14,7.566995039410006e-05,9.215133473258626e-05,5.355938514483993e-05,0.00016422462639492975
2019-08-15,0.0002075931034763477,0.00014670189349639311,8.396313390733144e-05,0.000256905529086229
2019-08-16,0.0003438369097332165,0.0002047651094941095,0.00011662364748688285,0.00035279839002298714
2019-08-17,6.347163361201263e-05,5.691716728768022e-05,2.959468809941793e-05,0.00011029211602033975
2019-08-18,1.2351929399301384e-05,4.7398445967151536e-05,2.693135427401979e-05,8.54582848798941e-05
2019-08-19,0.0002172261027134072,9.467522321263715e-05,5.403402054793967e-05,0.00016538337668499592
2019-08-20,0.00020674277893314497,0.00011294970812806699,6.527220140272872e-05,0.0001943149091863629
2019-08-21,0.00011778920927907491,0.00011249043651868973,6.37666206389502e-05,0.0002015251944699802
2019-08-22,0.0004112330546222121,0.00018521291255755462,0.00010620458764650306,0.00033156602221382246
2019-08-23,0.00017407010989438089,0.00020665820237232208,0.00011491288555446506,0.0003549544012256876
2019-08-24,7.082843692410782e-05,7.62415756048617e-05,4.353653522999285e-05,0.0001315414160225795
2019-08-25,,6.453007897441126e-05,3.607512543721147e-05,0.00011062082009998213
2019-08-26,,0.00012514980064785557,7.235458624616677e-05,0.00022196576974038598
2019-08-27,8.815073481496112e-05,9.78344877528622e-05,5.55520308479855e-05,0.00017112474608129455
2019-08-28,,5.68952630348354e-05,3.301384312338493e-05,0.00010125407661923098
2019-08-29,0.00011296109005343264,0.00016609160819946762,9.287320796102832e-05,0.0002940962565784581
2019-08-30,,9.557178497163237e-05,5.392056647605242e-05,0.0001668638627233812
2019-08-31,0.0001645071120649142,9.228264307329051e-05,5.269387369401125e-05,0.00016217806168794378
2019-09-01,4.680369335760164e-05,6.979195653832592e-05,3.926070304442607e-05,0.00012379038666771784
2019-09-02,7.491244269655249e-05,0.00012015084999509927,6.840355170953108e-05,0.0002073147054576004
2019-09-03,8.654131875531622e-05,9.536696754387019e-05,5.359335287613348e-05,0.00016810780983906242
2019-09-04,0.00012087243687287599,0.00011969381732737559,6.861637712341532e-05,0.000205826471104564
2019-09-05,5.475685212657016e-05,8.746537234445394e-05,4.944056191892364e-05,0.0001524758775219479
2019-09-06,,8.742501915991143e-05,4.913902062454236e-05,0.0001471330385137584
2019-09-07,,0.00011347645060957843,6.434789327748949e-05,0.0001981194326420324
2019-09-08,0.00011545848382043176,0.00013469287810322027,7.633515476508126e-05,0.00022918440618660145
2019-09-09,,7.293376604916379e-05,4.2987944358423634e-05,0.00013036264003134183
2019-09-10,,0.00010504086509642096,6.001685691067363e-05,0.00018076142530678793
2019-09-11,,0.00010557429973407559,6.119626671302565e-05,0.0001895476397965643
2019-09-12,0.00013919069356995093,0.00015706705054359843,9.098436689281654e-05,0.0002720810805207155
2019-09-13,0.00040409546868901006,0.00022497526147076163,0.00013097734194844455,0.0003858475609543998
2019-09-14,7.028406094606793e-05,7.447702697310584e-05,4.4238626925258816e-05,0.00013396393372771016
2019-09-15,0.00013241103980833868,0.00010714492500846948,6.139877634366573e-05,0.0001826620407599972
2019-09-16,0.00011981962170052084,9.120037871632179e-05,5.160893547766063e-05,0.00015993805090681797
2019-09-17,8.294092695023237e-05,8.711661880744268e-05,5.115924059337843e-05,0.00015478396544025343
2019-09-18,0.00023938851047599052,0.00013580088802313752,7.923691446015212e-05,0.0002376802124398796
2019-09-19,0.00014381163456724964,0.0001324561382081077,7.611041977985264e-05,0.0002236536061874764
2019-09-20,8.453244194851444e-05,0.00014165267483705462,8.250387953051337e-05,0.00024093618303996234
2019-09-21,5.721937687969091e-05,0.00011780404449649256,6.824334522759089e-05,0.00020366092842717058
2019-09-22,4.5292032468334634e-05,6.810928716207485e-05,3.955037357770488e-05,0.0001218460707809293
2019-09-23,0.00016537077317480112,7.948961387942692e-05,4.6089719341991564e-05,0.0001375220790307203
2019-09-24,0.0003635183333071368,0.00011543956816514475,6.665841266604875e-05,0.00019297965824760326
2019-09-25,0.00014655486251515117,0.0001451472642662185,8.292647790948005e-05,0.0002555739213310038
2019-09-26,0.00013824878864054574,9.794905944146852e-05,5.4753271955822786e-05,0.00016722393086997193
2019-09-27,9.970338009420923e-05,7.171361634920885e-05,4.1234590247973225e-05,0.00012532736783568176
