ds,y,precipitaciones,temperatura,es_finde,hora,dia_semana,mes,anio,Año Nuevo (New Year's Day),Día Nacional de la Memoria por la Verdad y la Justicia (Memory's National Day for the Truth and Justice),Día Nacional de la Soberanía (National Sovereignty Day),Día Pase a la Inmortalidad del General D. José de San Martin (Day Pass to the Immortality of General D. José de San Martin),Día Pase a la Inmortalidad del General D. Manuel Belgrano (Day Pass to the Immortality of General D. Manuel Belgrano),Día Pase a la Inmortalidad del General Martín Miguel de Güemes (Day Pass to the Immortality of General Martín Miguel de Güemes),Día de Carnaval (Carnival's Day),Día de Pascuas (Easter Day),Día de la Independencia (Independence Day),Día de la Revolucion de Mayo (May Revolution Day),Día del Respeto a la Diversidad Cultural (Respect for Cultural Diversity Day),Día del Trabajo (Labour Day),Día del Veterano y de los Caidos en la Guerra de Malvinas (Veterans Day and the Fallen in the Malvinas War),La Inmaculada Concepción (Immaculate Conception),Navidad (Christmas),Semana Santa (Jueves Santo)  (Holy day (Holy Thursday)),Semana Santa (Viernes Santo)  (Holy day (Holy Friday)),predicho
2019-01-05 03:00:00+00:00,2356.999999999981,0,23.9,1,3,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3624.274311251092
2019-01-05 04:00:00+00:00,2431.000000000024,0,23.7,1,4,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3625.3244294494525
2019-01-05 05:00:00+00:00,4142.999999999965,0,23.1,1,5,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5248.818216756588
2019-01-05 06:00:00+00:00,5374.999999999966,0,22.5,1,6,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9683.162675165388
2019-01-05 07:00:00+00:00,5999.999999999948,0,23.4,1,7,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11082.415729815317
2019-01-05 08:00:00+00:00,6317.999999999996,0,24.1,1,8,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12239.686197784567
2019-01-05 09:00:00+00:00,7539.000000000031,0,24.8,1,9,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13314.106505515681
2019-01-05 10:00:00+00:00,9223.999999999944,0,25.4,1,10,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13931.474165180878
2019-01-05 11:00:00+00:00,11907.000000000126,0,26.1,1,11,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13990.44720286512
2019-01-05 12:00:00+00:00,14646.999999999842,0,27.4,1,12,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13999.778618480354
