lon,lat,value
-58.63,-34.91,0
-58.63,-34.9,0
-58.63,-34.89,0
-58.63,-34.88,0
-58.63,-34.87,0
-58.63,-34.86,0
-58.63,-34.85,0
-58.63,-34.84,0
-58.63,-34.83,0
-58.63,-34.82,0
-58.63,-34.81,0
-58.63,-34.8,0
-58.63,-34.79,0
-58.63,-34.78,0
-58.63,-34.77,0
-58.63,-34.76,0
-58.63,-34.75,0
-58.63,-34.74,0
-58.63,-34.73,0
-58.63,-34.72,0
-58.63,-34.71,0
-58.63,-34.7,0
-58.63,-34.69,0
-58.63,-34.68,0
-58.63,-34.67,0
-58.63,-34.66,0
-58.63,-34.65,0
-58.63,-34.64,0
-58.63,-34.63,0
-58.63,-34.62,0
-58.63,-34.61,0
-58.63,-34.6,0
-58.63,-34.59,0
-58.63,-34.58,0
-58.63,-34.57,0
-58.63,-34.56,0
-58.63,-34.55,0
-58.63,-34.54,0
-58.63,-34.53,0
-58.63,-34.52,0
-58.63,-34.51,0
-58.63,-34.5,0
-58.63,-34.49,0
-58.63,-34.48,0
-58.63,-34.47,0
-58.63,-34.46,0
-58.63,-34.45,0
-58.63,-34.44,0
-58.63,-34.43,0
-58.63,-34.42,0
-58.63,-34.41,0
-58.63,-34.4,0
-58.63,-34.39,0
-58.63,-34.38,0
-58.63,-34.37,0
-58.63,-34.36,0
-58.63,-34.35,0
-58.63,-34.34,0
-58.63,-34.33,0
-58.63,-34.32,0
-58.62,-34.93,0
-58.62,-34.92,0
-58.62,-34.91,0
-58.62,-34.9,0
-58.62,-34.89,0
-58.62,-34.88,0
-58.62,-34.87,0
-58.62,-34.86,0
-58.62,-34.85,0
-58.62,-34.84,0
-58.62,-34.83,0
-58.62,-34.82,0
-58.62,-34.81,0
-58.62,-34.8,0
-58.62,-34.79,0
-58.62,-34.78,0
-58.62,-34.77,0
-58.62,-34.76,0
-58.62,-34.75,0
-58.62,-34.74,0
-58.62,-34.73,0
-58.62,-34.72,0
-58.62,-34.71,0
-58.62,-34.7,0
-58.62,-34.69,0
-58.62,-34.68,0
